Year,Quarter,United States:Consumer price index:Level values,"United States:GDP, nominal, LCU:Level values","United States:Interest rate, central bank policy:Level values",United States:Unemployment rate:Level values
1980,Q1,79.03,697.45,13.94,6.3
1980,Q2,81.7,699.35,11.74,7.33
1980,Q3,83.23,714.13,9.09,7.67
1980,Q4,85.57,746.4,14.73,7.4
1981,Q1,87.93,781.05,15.4,7.43
1981,Q2,89.77,790.63,16.52,7.4
1981,Q3,92.27,815.15,16.47,7.4
1981,Q4,93.77,820.2,12.67,8.23
1982,Q1,94.6,818.58,13.28,8.83
1982,Q2,95.97,833,13.51,9.43
1982,Q3,97.63,841.58,10.25,9.9
1982,Q4,97.93,850.65,9.19,10.67
1983,Q1,98,868.35,8.5,10.37
1983,Q2,99.13,894.7,8.7,10.13
1983,Q3,100.1,922.3,9.38,9.37
1983,Q4,101.1,948.68,9.38,8.53
1984,Q1,102.53,977.03,9.41,7.87
1984,Q2,103.5,1002.4,10.5,7.43
1984,Q3,104.4,1021.08,11.28,7.43
1984,Q4,105.3,1037.15,9.53,7.3
1985,Q1,106.27,1057.55,8.28,7.23
1985,Q2,107.23,1073.73,8.09,7.3
1985,Q3,107.9,1096.7,7.82,7.2
1985,Q4,109,1111.03,7.96,7.03
1986,Q1,109.57,1126.98,7.62,7.03
1986,Q2,109.03,1136.33,6.92,7.17
1986,Q3,109.7,1151.93,6.22,6.97
1986,Q4,110.47,1164.4,5.88,6.83
1987,Q1,111.8,1180.55,6,6.6
1987,Q2,113.07,1201.55,6.45,6.27
1987,Q3,114.27,1221.15,6.82,6
1987,Q4,115.33,1252,6.99,5.83
1988,Q1,116.23,1268.35,6.62,5.7
1988,Q2,117.57,1297.5,7.02,5.47
1988,Q3,119,1320.7,7.91,5.47
1988,Q4,120.3,1349.88,8.3,5.33
1989,Q1,121.67,1377.83,9.33,5.2
1989,Q2,123.63,1403.13,9.71,5.23
1989,Q3,124.6,1423.85,9.14,5.23
1989,Q4,125.87,1436.8,8.62,5.37
1990,Q1,128.03,1468.18,8.25,5.3
1990,Q2,129.3,1490,8.25,5.33
1990,Q3,131.53,1503.78,8.03,5.7
1990,Q4,133.77,1501.18,7.59,6.13
1991,Q1,134.77,1508.8,6.39,6.6
1991,Q2,135.57,1531.73,5.83,6.83
1991,Q3,136.6,1551.48,5.55,6.87
1991,Q4,137.73,1566.13,4.8,7.1
1992,Q1,138.67,1590.78,4,7.37
1992,Q2,139.73,1617.7,3.77,7.6
1992,Q3,140.8,1641.65,3.19,7.63
1992,Q4,142.03,1670.2,3,7.37
1993,Q1,143.07,1682.38,3,7.13
1993,Q2,144.1,1702.23,3,7.07
1993,Q3,144.77,1720.53,3,6.8
1993,Q4,145.97,1753.43,3,6.63
1994,Q1,146.7,1778.93,3.19,6.57
1994,Q2,147.53,1811.73,3.96,6.2
1994,Q3,148.9,1832.78,4.51,6
1994,Q4,149.77,1863.83,5.14,5.63
1995,Q1,150.87,1880.58,5.83,5.47
1995,Q2,152.1,1895.25,6,5.67
1995,Q3,152.87,1920.78,5.76,5.67
1995,Q4,153.7,1943.15,5.72,5.57
1996,Q1,155.07,1967.13,5.33,5.53
1996,Q2,156.4,2008.2,5.25,5.5
1996,Q3,157.3,2032.85,5.25,5.27
1996,Q4,158.67,2064.95,5.25,5.33
1997,Q1,159.63,2090.68,5.27,5.23
1997,Q2,160,2129.7,5.5,5
1997,Q3,160.8,2165.7,5.5,4.87
1997,Q4,161.67,2191.48,5.5,4.67
1998,Q1,162,2216.63,5.5,4.63
1998,Q2,162.53,2242.43,5.5,4.4
1998,Q3,163.37,2280.28,5.49,4.53
1998,Q4,164.13,2323.5,4.91,4.43
1999,Q1,164.73,2352.93,4.75,4.3
1999,Q2,165.97,2381.55,4.75,4.27
1999,Q3,167.2,2421.65,5.11,4.23
1999,Q4,168.43,2475.05,5.38,4.07
2000,Q1,170.1,2500.55,5.7,4.03
2000,Q2,171.43,2561.93,6.26,3.93
2000,Q3,173,2579.55,6.5,4
2000,Q4,174.23,2608.93,6.5,3.9
2001,Q1,175.9,2617.55,5.62,4.23
2001,Q2,177.13,2649.75,4.32,4.4
2001,Q3,177.63,2649.5,3.56,4.83
2001,Q4,177.5,2665.13,2.15,5.5
2002,Q1,178.07,2695.88,1.75,5.7
2002,Q2,179.47,2721.88,1.75,5.83
2002,Q3,180.43,2746,1.75,5.73
2002,Q4,181.5,2765.35,1.45,5.87
2003,Q1,183.37,2793.53,1.25,5.87
2003,Q2,183.07,2828.2,1.23,6.13
2003,Q3,184.43,2891.68,1,6.13
2003,Q4,185.13,2943.05,1,5.83
2004,Q1,186.7,2980.85,1,5.7
2004,Q2,188.17,3028.2,1,5.6
2004,Q3,189.37,3076.33,1.42,5.43
2004,Q4,191.4,3131.8,1.95,5.43
2005,Q1,192.37,3191.83,2.45,5.3
2005,Q2,193.67,3230.68,2.92,5.1
2005,Q3,196.6,3285.65,3.43,4.97
2005,Q4,198.43,3331.05,3.97,4.97
2006,Q1,199.47,3399.8,4.43,4.73
2006,Q2,201.27,3438.35,4.9,4.63
2006,Q3,203.17,3467.55,5.25,4.63
2006,Q4,202.33,3509.9,5.25,4.43
2007,Q1,204.32,3553.93,5.25,4.5
2007,Q2,206.63,3600.53,5.25,4.5
2007,Q3,207.94,3641.03,5.18,4.67
2007,Q4,210.49,3678.78,4.53,4.8
2008,Q1,212.77,3676.63,3.22,5
2008,Q2,215.54,3716.43,2.08,5.33
2008,Q3,218.86,3724.75,2,6
2008,Q4,213.85,3652.05,1.03,6.87
2009,Q1,212.38,3607.73,0.13,8.27
2009,Q2,213.51,3595.3,0.13,9.3
2009,Q3,215.34,3612.23,0.13,9.63
2009,Q4,217.03,3662.8,0.13,9.93
2010,Q1,217.37,3691.15,0.13,9.83
2010,Q2,217.3,3745.05,0.13,9.63
2010,Q3,217.93,3785.4,0.13,9.47
2010,Q4,219.7,3827.38,0.13,9.5
2011,Q1,222.04,3837.85,0.13,9.03
2011,Q2,224.57,3889.38,0.13,9.07
2011,Q3,226.03,3911.93,0.13,9
2011,Q4,227.05,3960.58,0.13,8.63
2012,Q1,228.33,4017.2,0.13,8.27
2012,Q2,228.81,4051.78,0.13,8.2
2012,Q3,229.84,4079.88,0.13,8.03
2012,Q4,231.37,4105.1,0.13,7.8
